sentence,hypothesis,features,contradiction
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('19.16.1.1') add middlebox('ids'), middlebox('overuse notification'), middlebox('dpi')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('19.16.1.1') allow protocol('scp'), protocol('snmp')","[2, 1, 1440.0, 0, 0, 0, 0, 4.0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 0, 3]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.91') set bandwidth('max', '30', 'mbps')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.63') set bandwidth('max', '10', 'mbps')","[3, 0, 1440.0, 0, 0, 0, 0, 2.6480033710057027, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('guests') set quota('download', '9', 'gb/wk')","define intent hypIntent: for group('guests') set bandwidth('min', '40', 'mbps')","[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.39') allow service('email'), service('AIM chat')",define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.47') block traffic('voip') protocol('secure IMAP'),"[5, 1, 1440.0, 1, 0, 1, 1, 3.105726245069434, 4, 0, 2, 0, 0, 0, 1, 0, 1, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.50') set quota('any', '3', 'gb/wk') start hour('02:20') end hour('09:20')","define intent hypIntent: for group('guests') set quota('upload', '1', 'gb/wk') start hour('17:30') end hour('18:30')","[3, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0
define intent stnIntent: for group('guests') allow service('CounterStrike') traffic('file sharing'),"define intent hypIntent: for group('guests') block protocol('https'), protocol('ftp')","[5, 1, 1440.0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 2, 0, 1, 0, 2, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') set quota('any', '4', 'gb/wk')","define intent stnIntent: from endpoint('19.16.1.1') to endpoint('19.16.1.1') allow service('Sorenson Videophone 200'), service('vimeo')","[2, 1, 1440.0, 0, 0, 1, 0, 3.5146494988173895, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('dorms') set quota('any', '1', 'gb/wk')","define intent hypIntent: for group('residence hall') set quota('upload', '3', 'gb/wk')","[5, 0, 1440.0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.3') set quota('upload', '4', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.26') unset bandwidth('max', '90', 'mbps')","[3, 1, 1440.0, 1, 0, 0, 0, 3.0762198390528996, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
define intent stnIntent: for group('guests') allow service('netflix') protocol('scp'),define intent hypIntent: for group('guests') block service('file transfer') protocol('icmp'),"[5, 1, 1440.0, 1, 1, 1, 1, 0, 0, 0.6195305726999093, 2, 1, 2, 0, 0, 0.506758843830905, 2, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('19.16.1.1') set bandwidth('min', '50', 'mbps')",define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.60') allow service('MSN audio') traffic('email'),"[2, 1, 1440.0, 0, 0, 1, 0, 3.4691125029706313, 4, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.52') set bandwidth('max', '90', 'mbps')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.74') set bandwidth('max', '30', 'mbps')","[3, 0, 1440.0, 0, 0, 0, 0, 2.9366413676228174, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
define intent stnIntent: for group('guests') allow service('MSN audio') traffic('voip'),"define intent hypIntent: for group('guest networks') allow traffic('streaming'), traffic('file sharing')","[5, 1, 1440.0, 0, 2, 1, 0, 0, 0, 0, 1, 0, 2, 0.7075860611632652, 3, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.86') add middlebox('ids'), middlebox('network border system'), middlebox('traffics monitor')",define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.90') remove middlebox('ids'),"[5, 1, 1440.0, 1, 0, 1, 0, 3.064666399281175, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1.6707757037397188, 4]",1
define intent stnIntent: for group('guests') allow service('file transfer') traffic('streaming'),define intent hypIntent: for group('guest networks') block service('email') protocol('icmp'),"[5, 1, 1440.0, 1, 2, 1, 0, 0, 0, 0.7247112074095832, 2, 0, 2, 0, 1, 0, 1, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.52') set quota('any', '5', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.56') set quota('upload', '4', 'gb/wk')","[5, 0, 1440.0, 0, 0, 1, 0, 2.8041139041653658, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('dorms') set quota('upload', '1', 'gb/wk')","define intent hypIntent: for group('hall') set bandwidth('min', '30', 'mbps')","[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.21') allow service('email') protocol('dns') start hour('08:00') end hour('19:40'),define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.3') block traffic('gaming') protocol('secure IMAP') start hour('12:30') end hour('15:10'),"[4, 1, 161.0, 1, 0, 1, 1, 2.9032587157938, 4, 0, 1, 0, 0, 0, 1, 0.3871809047297826, 2, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.15') remove middlebox('traffics monitor'), middlebox('network border system')",define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.23') add middlebox('firewall'),"[5, 1, 1440.0, 1, 0, 1, 0, 2.865409108630808, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0.8507141595150256, 3]",0
"define intent stnIntent: for group('students') set bandwidth('min', '70', 'mbps')","define intent hypIntent: for group('students') set bandwidth('max', '20', 'mbps')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.29.75') set quota('upload', '5', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.29.83') set bandwidth('min', '40', 'mbps')","[5, 1, 1440.0, 0, 0, 1, 0, 3.1132766348355956, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.27') allow service('file transfer') traffic('voip'),define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.31') block service('amazon prime video') traffic('voip'),"[5, 1, 1440.0, 1, 0, 1, 0, 3.1103821725157417, 4, 0.6792617000365707, 2, 0, 0, 1.0, 2, 0, 0, 0, 0]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.39') add middlebox('ids'),"define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.41') add middlebox('network border system'), middlebox('copyright monitoring')","[5, 1, 1440.0, 0, 0, 1, 0, 3.0860447240357307, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0.394748114795741, 3]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') set bandwidth('min', '30', 'mbps')","define intent hypIntent: for group('dorms') set bandwidth('max', '50', 'mbps')","[3, 0, 1440.0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.26') set quota('any', '6', 'gb/wk') start hour('02:30') end hour('11:40')","define intent hypIntent: for group('students') set quota('download', '1', 'gb/wk') start hour('14:10') end hour('15:00')","[3, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') set quota('download', '4', 'gb/wk')","define intent hypIntent: for group('dorms') set quota('any', '7', 'gb/wk')","[3, 0, 1440.0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('dorms') set quota('upload', '5', 'gb/wk')","define intent hypIntent: for group('hall') set bandwidth('max', '90', 'mbps')","[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('guests') set quota('upload', '5', 'gb/wk')","define intent hypIntent: for group('guest networks') set quota('upload', '9', 'gb/wk')","[5, 0, 1440.0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",1
define intent stnIntent: for group('students') add middlebox('unit firewall') start hour('04:00') end hour('09:20'),"define intent hypIntent: for group('students') remove middlebox('unit firewall'), middlebox('ips'), middlebox('load balancer') start hour('14:10') end hour('17:00')","[5, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1.8517789701671479, 4]",0
"define intent stnIntent: for group('dorms') set quota('any', '4', 'gb/wk')","define intent hypIntent: for group('dorms') set quota('upload', '1', 'gb/wk')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.26') add middlebox('firewall'),"define intent hypIntent: for group('dorms') add middlebox('network border system'), middlebox('dpi'), middlebox('firewall')","[4, 1, 1440.0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 2.094961178918665, 4]",0
"define intent stnIntent: for group('students') add middlebox('load balancer'), middlebox('ips')","define intent hypIntent: for group('students') remove middlebox('load balancer'), middlebox('ips'), middlebox('overuse notification')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 3.392187826616711, 5]",1
"define intent stnIntent: for group('guests') unset bandwidth('min', '90', 'mbps')","define intent hypIntent: for group('guests') unset quota('any', '3', 'gb/wk')","[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('students') set quota('any', '2', 'gb/wk')","define intent hypIntent: for group('students') set quota('any', '8', 'gb/wk')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('students') set quota('any', '1', 'gb/wk') start hour('03:30') end hour('14:30')","define intent hypIntent: for group('students') set quota('any', '8', 'gb/wk') start hour('16:00') end hour('18:40')","[5, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.29.75') allow service('email') traffic('any'),define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.29.81') block service('NETBIOS') protocol('http'),"[5, 1, 1440.0, 1, 0, 1, 1, 3.297060037203511, 4, 0.28605943229512254, 2, 0, 0, 0, 1, 0, 1, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.30') set quota('any', '8', 'gb/wk')","define intent hypIntent: for group('students') set bandwidth('max', '90', 'mbps')","[3, 1, 1440.0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.29.75') set bandwidth('max', '80', 'mbps')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.29.77') set bandwidth('max', '30', 'mbps')","[5, 0, 1440.0, 0, 0, 1, 0, 3.1925664146060004, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('students') set quota('any', '1', 'gb/wk')","define intent stnIntent: for group('dorms') allow traffic('streaming'), traffic('email')","[3, 1, 1440.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0]",0
"define intent stnIntent: for group('students') set bandwidth('min', '50', 'mbps')","define intent hypIntent: for group('students') set bandwidth('max', '40', 'mbps')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.3') remove middlebox('copyright monitoring'),define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') add middlebox('load balancer'),"[3, 1, 1440.0, 1, 0, 1, 0, 3.2545050259323864, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0.6758782683224286, 2]",0
"define intent stnIntent: for group('guests') add middlebox('dpi'), middlebox('ips'), middlebox('copyright monitoring')",define intent hypIntent: for group('guests') remove middlebox('dpi'),"[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1.7201418725276145, 4]",1
"define intent stnIntent: for group('guests') block service('stremio'), service('amazon prime video')",define intent hypIntent: for group('guest') allow service('vimeo') protocol('snmp'),"[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 1.1038924775531915, 3, 0, 2, 0, 0, 0, 1, 0, 0]",0
define intent stnIntent: for group('dorms') allow service('Sony Playstation 2') traffic('voip') start hour('09:00') end hour('16:20'),"define intent hypIntent: for group('dorms') block protocol('http'), protocol('icmp') start hour('10:10') end hour('18:00')","[5, 1, 371.0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 2, 0, 1, 0, 2, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.37.86') unset quota('download', '5', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.50') unset quota('download', '6', 'gb/wk')","[3, 0, 1440.0, 0, 0, 1, 0, 2.9311955433278065, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('dorms') allow traffic('gaming'), traffic('any')",define intent hypIntent: for group('dorms') block traffic('email') protocol('scp'),"[5, 1, 1440.0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 2, 0.8368613160605399, 3, 0, 1, 0, 0]",1
"define intent stnIntent: for group('guests') remove middlebox('firewall'), middlebox('ips')",define intent hypIntent: for group('guests') remove middlebox('overuse notification'),"[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0.8153289757375545, 3]",0
"define intent stnIntent: for group('students') set bandwidth('min', '80', 'mbps')","define intent hypIntent: for group('students') set bandwidth('min', '70', 'mbps')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') add middlebox('overuse notification'), middlebox('network border system')","define intent hypIntent: for group('students') remove middlebox('traffics monitor'), middlebox('parental control'), middlebox('ips')","[3, 1, 1440.0, 1, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 2.5764788463648425, 5]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.39'),define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.40'),"[5, 1, 1440.0, 0, 0, 1, 0, 3.021993862271049, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('guests') set bandwidth('max', '80', 'mbps')","define intent stnIntent: for group('guests') add middlebox('parental control'), middlebox('copyright monitoring')","[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 2]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.29.75') set bandwidth('min', '10', 'mbps')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.29.79') set bandwidth('max', '20', 'mbps')","[5, 0, 1440.0, 0, 0, 1, 0, 3.200287476369195, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('students') set quota('download', '1', 'gb/wk')","define intent hypIntent: for group('students') set quota('download', '7', 'gb/wk')","[5, 0, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.27') set bandwidth('min', '90', 'mbps')","define intent hypIntent: for group('dorms') set bandwidth('max', '60', 'mbps')","[4, 0, 1440.0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.26') set quota('any', '1', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') unset bandwidth('max', '30', 'mbps')","[3, 1, 1440.0, 1, 0, 1, 0, 3.0860683831188007, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.15') add middlebox('load balancer'), middlebox('ips'), middlebox('unit firewall') start hour('09:30') end hour('19:10')","define intent hypIntent: for group('students') remove middlebox('copyright monitoring'), middlebox('ips'), middlebox('traffics monitor') start hour('08:40') end hour('19:10')","[4, 1, 581.0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 4.496320556342829, 6]",1
"define intent stnIntent: for group('guests') set bandwidth('max', '20', 'mbps')","define intent hypIntent: for group('guests') set quota('upload', '3', 'gb/wk')","[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.11.51') set bandwidth('max', '70', 'mbps')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.63') set bandwidth('max', '40', 'mbps')","[4, 0, 1440.0, 0, 0, 1, 0, 2.747186216805982, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
define intent stnIntent: for group('students') block traffic('gaming') protocol('POP3'),define intent hypIntent: for group('bookman') block traffic('social media') protocol('tcp'),"[5, 1, 1440.0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 2, 0.4420594546169734, 2, 0.3740849823944182, 2, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4') add middlebox('ips'), middlebox('ids') start hour('08:40') end hour('18:20')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.3') remove middlebox('unit firewall'), middlebox('ips')","[4, 1, 581.0, 1, 0, 1, 0, 3.1422212477996023, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2.0079838153712575, 4]",1
"define intent stnIntent: for group('dorms') add middlebox('overuse notification'), middlebox('firewall')",define intent hypIntent: for group('dorms') remove middlebox('network border system'),"[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1.1116661582081115, 3]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.52') add middlebox('unit firewall'), middlebox('ips')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.60') remove middlebox('parental control'), middlebox('network border system'), middlebox('unit firewall')","[5, 1, 1440.0, 1, 0, 1, 0, 2.932029263405072, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2.8262527517091467, 5]",1
define intent stnIntent: for group('students') remove middlebox('unit firewall'),"define intent hypIntent: for group('bookman') add middlebox('ips'), middlebox('traffics monitor')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0.7269755036367171, 3]",0
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.63'),define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.65'),"[5, 1, 1440.0, 0, 0, 1, 0, 2.669597039733404, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.4') remove middlebox('traffics monitor'), middlebox('network border system')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.2.9') remove middlebox('overuse notification'), middlebox('firewall'), middlebox('parental control')","[5, 1, 1440.0, 0, 0, 1, 0, 2.9407028767072405, 4, 0, 0, 0, 0, 0, 0, 0, 0, 3.1528575185281644, 5]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.22') add middlebox('ips'), middlebox('copyright monitoring')",define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.26') remove middlebox('ips'),"[3, 1, 1440.0, 1, 0, 0, 0, 2.7773552581167342, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1.174090391517235, 3]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.1.2') remove middlebox('network border system') start hour('04:40') end hour('14:20'),define intent hypIntent: for group('students') remove middlebox('dpi') start hour('17:30') end hour('18:20'),"[3, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0.3767049671008427, 2]",0
"define intent stnIntent: for group('guests') add middlebox('ids'), middlebox('firewall'), middlebox('network border system')","define intent hypIntent: for group('guests') remove middlebox('overuse notification'), middlebox('network border system')","[5, 1, 1440.0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 3.0383335781997403, 5]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.26') set bandwidth('max', '90', 'mbps')","define intent hypIntent: for group('dorms') set quota('download', '8', 'gb/wk')","[4, 1, 1440.0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('guests') set bandwidth('max', '20', 'mbps')","define intent hypIntent: for group('guest networks') set bandwidth('min', '10', 'mbps')","[5, 0, 1440.0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: for group('guests') set bandwidth('min', '70', 'mbps')","define intent stnIntent: for group('guests') allow service('bittorrent'), service('file transfer')","[5, 1, 1440.0, 0, 1, 1, 0, 0, 0, 0, 2, 1, 2, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: for group('dorms') set bandwidth('min', '60', 'mbps')","define intent hypIntent: for group('residence hall') set bandwidth('max', '50', 'mbps')","[5, 0, 1440.0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]",1
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.4.15') set quota('upload', '9', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.7.38') set quota('upload', '2', 'gb/wk')","[3, 0, 1440.0, 0, 0, 0, 0, 2.7712118125529415, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.74') set quota('upload', '5', 'gb/wk')","define intent hypIntent: from endpoint('19.16.1.1') to endpoint('172.16.16.56') set quota('any', '8', 'gb/wk')","[3, 0, 1440.0, 0, 0, 0, 0, 3.096210305420625, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
define intent stnIntent: from endpoint('19.16.1.1') to endpoint('172.16.22.74') block service('PC Telephone') traffic('social media') add middlebox('firewall'),"define intent hypIntent: for group('guests') block protocol('ftp'), protocol('https') add middlebox('firewall')","[3, 1, 1440.0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 1, 0, 1, 0, 2, 1.0, 2]",0
