"Timestamp","UUID","Did you have any trouble using natural language to describe your network intents?","If you had any troubles, could you please describe what happened?","Did you have any troubles using Lumi's chatbot interface?","If you had any trouble, could you describe what happened?","How many of the given tasks did you succeed in completing?","How easy was it to use Lumi to configure the network?","Compared to the traditional way of configuring networks, how would you rank using Lumi instead of configuration commands or languages?","Would you rather use a chatbot like Lumi or configuration commands to alter network behavior?","If you marked ""I think both are useful for distinct tasks"", please elaborate on your answer.","Which type of intents do you think Lumi helped the most when configuring the network?","Please share your thoughts on Lumi below. Your feedback is very appreciated. What do you think worked and what do you think could be improved?"
"2020/01/23 8:03:25 PM EST","1bfa890f-9f29-4d21-a5b1-f6cc2e7875a3","No","","No","","4","5","4","I think both are useful for distinct tasks","Lumi is like a black box hiding all the details of user groups and topology. I think that Lumi still needs to be pre-configured by the experts to define the terminology and solutions. Also I would imagine that there can be bugs, optimization-sensitive requests and specific functions that still need operators to use commands. Commands are useful when operators know clearly what they want to accomplish. ","Rate limiting;Usage quotas;Middlebox chaining;Access Control List (ACL);Temporal policies","More visibility into how Lumi requests are accomplished would help operators understand the network better. Also, what would happen if conflicting requests are made through Lumi? How do you verify that the network functions as desired after a bunch of requests?"
"2020/01/23 10:45:15 PM EST","906e8722-7b88-404c-8db2-dd1e42e9ba0e","No","","No","","3","4","4","I would rather use Lumi","","Usage quotas;Access Control List (ACL);Temporal policies",""
"2020/01/24 2:50:54 AM EST","22849304-bf1c-4d60-bcb6-26ffedbc838c","Yes","There is a learning curve of which words to use.","No","","4","4","5","I would rather use Lumi","","Rate limiting;Usage quotas;Temporal policies","Great tool. You may want to add some examples before the task starts"
"2020/01/24 7:23:22 AM EST","a85d847c-fbde-42c3-bbf7-41c76bb735bf","Yes","In the last task was hard to define the end point in the same sentence","Yes","When asked ""What type of entity is 'servers'?"" some options appears partially hidden","5","4","5","I would rather use Lumi","","Rate limiting;Middlebox chaining;Temporal policies","Could be possible to set a Gbps limit per week using 'Gbps per week' instead of 'gb/wk'"
"2020/01/26 11:17:36 AM EST","972d2317-4e18-490c-9372-5d348054265b","No","","No","","5","4","5","I would rather use Lumi","","Rate limiting;Middlebox chaining;Access Control List (ACL)",""
"2020/01/27 12:56:53 AM EST","a9af87b6-d6f4-4c44-baee-fe9576655555","No","","No","","5","5","5","I would rather use Lumi","","Rate limiting;Usage quotas;Middlebox chaining;Access Control List (ACL);Temporal policies",""
"2020/01/27 7:44:28 PM EST","bace5f7a-ce94-4aa1-9a5d-4f260dd92dc0","No","","No","","5","5","5","I think both are useful for distinct tasks","Depend on the complexity of the task. I'm not so comfortable doing complex configuration using tools like Lumi or other kind of configuration.","Rate limiting;Usage quotas;Middlebox chaining",""
"2020/01/28 6:25:57 AM EST","89d0f8c2-7749-4f89-844d-f628bf64fd6c","Yes","I had some difficulties to specify the time interval.","No","","4","4","4","I think both are useful for distinct tasks","Although Lumi is really helpful to create the intents and to perform simple tasks, I prefer to use the command line to configure sensitive applications and tasks related to servers, for example.","Rate limiting;Usage quotas",""
"2020/01/28 7:08:49 AM EST","292bbc17-d4c0-404d-9a59-0f1ba60a8b77","No","typed month instead of week, forgot ""labs""","No","","5","5","4","I think both are useful for distinct tasks","automation, scripting, advanced configuration","all of the above","nice!"
"2020/01/28 7:37:57 AM EST","6f393feb-4433-4405-9658-ed9de1a4d04f","Yes","even after typing the correct keywords the chatbox did not accepted the command","No","","3","3","2","I prefer network commands","","Usage quotas;Access Control List (ACL)",""
"2020/01/28 9:29:21 AM EST","02c373b6-0adb-44ee-b984-1ef4f725c90e","Yes","Not work for me. Even with the keywords the system returned a error. ","Yes"," Even with the keywords the system returned a error. ","0","3","4","I think both are useful for distinct tasks","In some cases CLI commands will be more precisely. ","Rate limiting;Layer 2 tasks like vlans and STP configurations.","I think this is a awesome idea. Can be useful for NOCs and Internet Services Providers. 
This can be useful for Level 1 support team and commercial teams. The tool can be used by commercial team realize somes basics operations to consumers."
"2020/01/28 2:49:47 PM EST","b108335c-ed0e-49d7-af7a-e8f6b63f4887","No","","Yes","I had trouble understanding what ""Nile intent"" and ""define intent buildIntent"" means when I my first attempt was unsuccessful. Basically, I had trouble understanding Lumi's statement when asking ""Is this what to want?"". I.e., I was not  sure if that's what I want because I couldn't understand its way of describing an intent. ","5","4","4","I think both are useful for distinct tasks","1. Many network management tasks are about monitoring something or figuring out what's happening, not just installing a new policy. I didn't see any such tasks when using Lumi in this experiment. (e.g., ""Can these two endpoints communicate right now?"", ""are there any packet drops between these two endpoints?"") 2. Firewall rules get complex, and I doubt Lumi would be necessarily easier to perform those tasks (e.g., block all incoming traffic, except for http traffic coming, traffic coming from internet2 sources, ssh traffic, ...etc, and so on). ","Temporal policies","1. As I mentioned, I think Lumi should have some tasks for monitoring the network and troubleshooting network issues. 2. I think Lumi will be good for performing quick and simple network tasks. For more complex network policies (traffic steering, rate limiting, etc), I have a feeling that operators might feel uncomfortable relying a chatbot to do the right work."
"2020/01/28 3:34:26 PM EST","2a2ddb6c-e9fe-40c8-a9fb-a922404e9658","Yes","only one minor problem: having ""per week"" at the end of a sentence describing data usage limits seemed to be discarded. I had to describe the limit as ""10GB/week data"" which felt awkward.","No","","5","5","5","I would rather use Lumi","","Middlebox chaining","I think any management task which can apply to a parent restricting their home network is an excellent fit for lumi. Blocking video traffic past 10pm, limiting torrenting, etc."
"2020/01/29 6:53:46 PM EST","869020e9-9e74-46c8-a4ad-54b2ae5e37db","Yes","Adaptation only","No","","5","5","5","I think both are useful for distinct tasks","I believe that seeing the practical effects of settings can help confidence when using Lumi","Rate limiting;Usage quotas;Middlebox chaining","I believe that seeing the practical effects of settings can help confidence when using Lumi"
