Task,Intent
3,Limit the traffic to Dorms to 10 GB per week.
3,limit every outgoing link from dorms to 10GB per week
3,"Lumi, limit students to 10gb/wk maximum download in dorms"
3,traffic from dorms are allowed to download 10 gb per week
3,set a 10 GB per week download quota for students in dorms
3,"Lumi, limit the bandwidth to the dorms to 10GB per week"
3,Please limit the download quota for dorms to 10GB per week
3,student quota dorms 10gb week
3,limit students in dorms to download 10 GB per week
3,limit students in the dorms to 10GB/week data
3,limit 10 GB per week download from Internet  to Dorms
4,Block f2movies for students in labs
4,Block F2movies traffic for students in Labs
4,"Hey Lumi, block the F2movies traffic for all students in the labs"
4,block F2movies traffic for students in the labs
4,Between internet and labs block traffic from students to f2movies
4,block the F2movies website for lab students
4,block site F2movies traffic  for students in the labs
4,block f2movies for students on the lab
4,"hey lumi, please block F2movies traffic for students in the labs"
4,block F2movies traffic for students in the labs
4,Block F2movies traffic to students in Labs
4,Block F2movies traffic for students in labs
4,block F2Movies for students in labs
4,"Lumi's, add a firewall and block F2movies traffic from students in labs"
4,block all f2movies traffic on labs from students
4,block F2movies traffic for students in the labs
4,"Lumi, block all traffic to F2Movies for students on the Labs"
4,"Hey Lumi, please block all traffic from f2movies to labs for students"
4,block f2movies.com students labs
4,block traffic from f2movies going to students in the labs
4,block students in the labs from accessing F2movies
4,block F2movies traffic for students in the labs.
5,"please lumi, limit bandwidth to 5 gbps from 4pm to 7pm from internet to servers"
5,set a 5 Gbps bandwidth limit for the server racks from 4PM to 7PM
5,Set 5 GBps as bandwidth limit for the servers from 4pm to 7pm
5,"Lumi, set a 5 Gbps limit for the Servers from 4PM to 7PM"
5,set a 5 Gbps bandwidth limit for the server racks from 4PM to 7PM
5,limit traffic to 5Gbps  Between internet and servers from 16:00 to 19:00
5,set a 5 Gbps bandwidth limit for the server racks from 4PM to 7PM.
5,please limit bandwidth to 5 Gigabits per second for the server racks everyday from 4 PM to 7 PM
5,please limit bandwidth to 5 Gigabits per second for the server racks everyday from 4 PM to 7 PM
5,please limit bandwidth to 5 Gigabits per second for the server racks everyday from 4 PM to 7 PM
5,please limit bandwidth to 5 Gigabits per second for the server racks everyday from 4 PM to 7 PM
5,set a 5Gbps bandwidth limit for the server racks from 4PM to 7PM
5,Limit the traffic to server racks to 5 Gbps from 4 pm to 7 pm.
5,limit bandwidth for server racks to 5Gbps from 4pm to 7pm
5,Limit traffic from 4pm to 7pm up to 5Gbps in servers
5,limit the bandwith from servers to 5 gbps from 4pm to 7pm
5,set a 5 Gbps bandwidth limit for the server racks from 4PM to 7PM
5,"Lumi, limit the bandwidth to the servers to 5Gbps from 4PM to 7PM"
5,"Hey Lumi, please limit the bandwith from gateway to servers to 5Gbps from 4PM to 7PM"
5,"Hey Lumi, please limit the bandwith from gateway to servers to 5Gbps everyday from 4:00PM to 7:00PM"
5,"Hey Lumi, please limit the bandwith from gateway to servers to 5Gbps from 4:00PM to 7:00PM"
5,rate limit servers 5gbps from 4pm to 7pm
5,Limit bandwidth to 5 Gbps for the server racks from 4pm to 7pm
5,limit the server racks bandwidth to 5 Gbps from 4pm to 7pm
5,set a 5 Gbps bandwidth limit for the server racks from 4PM to 7PM.
